url_path,views_total,views_unique
/xiu14/st-old-friend-mail,83,62
/xiu14/st-old-friend-mail/tree/main,4,2
/xiu14/st-old-friend-mail/blob/main/.github/workflows/repo-stats.yml,3,2
/xiu14/st-old-friend-mail/blob/main/README.md,2,2
/xiu14/st-old-friend-mail/tree/main/.github/workflows,2,2
/xiu14/st-old-friend-mail/blob/main/settings.html,1,1
/xiu14/st-old-friend-mail/blob/main/style.css,1,1
/xiu14/st-old-friend-mail/commits/main,1,1
/xiu14/st-old-friend-mail/pulls,1,1
/xiu14/st-old-friend-mail/pulse,1,1
