time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-03 00:00:00+00:00,0,0,0,0
2026-04-04 00:00:00+00:00,0,0,0,0
2026-04-05 00:00:00+00:00,38,29,37,1
2026-04-06 00:00:00+00:00,243,159,11,8
2026-04-07 00:00:00+00:00,92,77,13,4
2026-04-08 00:00:00+00:00,60,42,21,9
2026-04-09 00:00:00+00:00,116,94,14,8
2026-04-10 00:00:00+00:00,139,127,25,16
2026-04-11 00:00:00+00:00,74,54,4,4
2026-04-12 00:00:00+00:00,43,30,1,1
2026-04-13 00:00:00+00:00,43,36,4,4
2026-04-14 00:00:00+00:00,70,54,10,9
2026-04-15 00:00:00+00:00,75,46,8,7
2026-04-16 00:00:00+00:00,52,28,11,5
